date,rate
2021-10-01,0.030525
2021-10-02,0.030538
2021-10-03,0.030535
2021-10-04,0.030396
2021-10-05,0.030382
2021-10-06,0.030252
2021-10-07,0.030254
2021-10-08,0.030153
2021-10-09,0.030111
2021-10-10,0.030126
2021-10-11,0.030016
2021-10-12,0.030008
2021-10-13,0.030063
2021-10-14,0.030164
2021-10-15,0.030203
2021-10-16,0.030165
2021-10-17,0.030176
2021-10-18,0.030066
2021-10-19,0.030151
2021-10-20,0.03026
2021-10-21,0.030278
2021-10-22,0.030211
2021-10-23,0.030184
2021-10-24,0.03019
2021-10-25,0.030173
2021-10-26,0.030213
2021-10-27,0.030183
2021-10-28,0.030278
2021-10-29,0.030193
2021-10-30,0.030218
2021-10-31,0.030221
2021-11-01,0.030197
