date,rate
2021-10-01,0.073404
2021-10-02,0.07349
2021-10-03,0.073498
2021-10-04,0.072854
2021-10-05,0.072865
2021-10-06,0.073239
2021-10-07,0.072964
2021-10-08,0.072406
2021-10-09,0.072387
2021-10-10,0.072458
2021-10-11,0.072122
2021-10-12,0.072317
2021-10-13,0.071935
2021-10-14,0.071532
2021-10-15,0.071492
2021-10-16,0.071439
2021-10-17,0.071482
2021-10-18,0.071545
2021-10-19,0.071434
2021-10-20,0.071423
2021-10-21,0.071484
2021-10-22,0.071225
2021-10-23,0.071114
2021-10-24,0.071132
2021-10-25,0.071253
2021-10-26,0.071584
2021-10-27,0.07117
2021-10-28,0.070962
2021-10-29,0.071282
2021-10-30,0.071368
2021-10-31,0.071335
2021-11-01,0.071431
