date,rate
2021-10-01,0.282198
2021-10-02,0.282
2021-10-03,0.281984
2021-10-04,0.281924
2021-10-05,0.282274
2021-10-06,0.281179
2021-10-07,0.280567
2021-10-08,0.28055
2021-10-09,0.280177
2021-10-10,0.280276
2021-10-11,0.277116
2021-10-12,0.274596
2021-10-13,0.274251
2021-10-14,0.274778
2021-10-15,0.277094
2021-10-16,0.276989
2021-10-17,0.277571
2021-10-18,0.276275
2021-10-19,0.276249
2021-10-20,0.277674
2021-10-21,0.277654
2021-10-22,0.276945
2021-10-23,0.276706
2021-10-24,0.276734
2021-10-25,0.273985
2021-10-26,0.275813
2021-10-27,0.275941
2021-10-28,0.276103
2021-10-29,0.276655
2021-10-30,0.276263
2021-10-31,0.276289
2021-11-01,0.277494
