date,rate
2021-10-01,7.847178
2021-10-02,7.850771
2021-10-03,7.851172
2021-10-04,7.850141
2021-10-05,7.868822
2021-10-06,7.824487
2021-10-07,7.83239
2021-10-08,7.823881
2021-10-09,7.807788
2021-10-10,7.807471
2021-10-11,7.855158
2021-10-12,7.84188
2021-10-13,7.844667
2021-10-14,7.904516
2021-10-15,7.95659
2021-10-16,7.957031
2021-10-17,7.953522
2021-10-18,7.953537
2021-10-19,8.032057
2021-10-20,8.060727
2021-10-21,7.996588
2021-10-22,7.967134
2021-10-23,7.97706
2021-10-24,7.975868
2021-10-25,8.009398
2021-10-26,8.021748
2021-10-27,8.056553
2021-10-28,8.162825
2021-10-29,8.074493
2021-10-30,8.082895
2021-10-31,8.08721
2021-11-01,8.084312
