date,rate
2021-10-01,213.587307
2021-10-02,214.182684
2021-10-03,214.114293
2021-10-04,213.807859
2021-10-05,214.633655
2021-10-06,214.915847
2021-10-07,215.054248
2021-10-08,216.161682
2021-10-09,215.67431
2021-10-10,215.577168
2021-10-11,216.017973
2021-10-12,216.801756
2021-10-13,216.530015
2021-10-14,217.649804
2021-10-15,219.134918
2021-10-16,219.467243
2021-10-17,219.279845
2021-10-18,220.716883
2021-10-19,223.215743
2021-10-20,224.051319
2021-10-21,223.961777
2021-10-22,223.840469
2021-10-23,223.947341
2021-10-24,223.939188
2021-10-25,225.875622
2021-10-26,225.221185
2021-10-27,224.72312
2021-10-28,223.079749
2021-10-29,223.335094
2021-10-30,223.179286
2021-10-31,223.327109
2021-11-01,223.496903
