date,rate
2021-10-01,0.266818
2021-10-02,0.266944
2021-10-03,0.266957
2021-10-04,0.267715
2021-10-05,0.267958
2021-10-06,0.265677
2021-10-07,0.266826
2021-10-08,0.266503
2021-10-09,0.266471
2021-10-10,0.26646
2021-10-11,0.267535
2021-10-12,0.266949
2021-10-13,0.267423
2021-10-14,0.270236
2021-10-15,0.271839
2021-10-16,0.271855
2021-10-17,0.271735
2021-10-18,0.272162
2021-10-19,0.275414
2021-10-20,0.27688
2021-10-21,0.275677
2021-10-22,0.274625
2021-10-23,0.275055
2021-10-24,0.275014
2021-10-25,0.275578
2021-10-26,0.275057
2021-10-27,0.275888
2021-10-28,0.277145
2021-10-29,0.275374
2021-10-30,0.275632
2021-10-31,0.275779
2021-11-01,0.275715
