date,rate
2021-10-01,0.693934
2021-10-02,0.694262
2021-10-03,0.694298
2021-10-04,0.696267
2021-10-05,0.696901
2021-10-06,0.690967
2021-10-07,0.693955
2021-10-08,0.693115
2021-10-09,0.693032
2021-10-10,0.693004
2021-10-11,0.6958
2021-10-12,0.694275
2021-10-13,0.695507
2021-10-14,0.702824
2021-10-15,0.706994
2021-10-16,0.707035
2021-10-17,0.706724
2021-10-18,0.707834
2021-10-19,0.716291
2021-10-20,0.720103
2021-10-21,0.716976
2021-10-22,0.71424
2021-10-23,0.715359
2021-10-24,0.715252
2021-10-25,0.716717
2021-10-26,0.715363
2021-10-27,0.717523
2021-10-28,0.720793
2021-10-29,0.716188
2021-10-30,0.716859
2021-10-31,0.717242
2021-11-01,0.717074
