date,rate
2021-10-01,2088.729483
2021-10-02,2088.327227
2021-10-03,2089.062476
2021-10-04,2097.745307
2021-10-05,2114.911723
2021-10-06,2121.608803
2021-10-07,2113.729878
2021-10-08,2142.072548
2021-10-09,2144.519013
2021-10-10,2144.164304
2021-10-11,2144.38155
2021-10-12,2145.780378
2021-10-13,2123.775947
2021-10-14,2124.749426
2021-10-15,2140.791969
2021-10-16,2142.339811
2021-10-17,2142.364873
2021-10-18,2130.336759
2021-10-19,2112.26244
2021-10-20,2108.668465
2021-10-21,2124.818084
2021-10-22,2117.373086
2021-10-23,2122.023645
2021-10-24,2121.658886
2021-10-25,2101.107949
2021-10-26,2097.283214
2021-10-27,2095.730359
2021-10-28,2092.455289
2021-10-29,2109.943935
2021-10-30,2115.952165
2021-10-31,2115.954473
2021-11-01,2115.737007
