date,rate
2021-10-01,16.768612
2021-10-02,16.766106
2021-10-03,16.763929
2021-10-04,16.767264
2021-10-05,16.767541
2021-10-06,16.777923
2021-10-07,16.778676
2021-10-08,16.759696
2021-10-09,16.758603
2021-10-10,16.759625
2021-10-11,16.778293
2021-10-12,16.772368
2021-10-13,16.716622
2021-10-14,16.748997
2021-10-15,16.734819
2021-10-16,16.738082
2021-10-17,16.735043
2021-10-18,16.721226
2021-10-19,16.601662
2021-10-20,16.62818
2021-10-21,16.628824
2021-10-22,16.604637
2021-10-23,16.604514
2021-10-24,16.604503
2021-10-25,16.607769
2021-10-26,16.602037
2021-10-27,16.623032
2021-10-28,16.6213
2021-10-29,16.656622
2021-10-30,16.652785
2021-10-31,16.63653
2021-11-01,16.65025
