date,rate
2021-10-01,16.678715
2021-10-02,16.683291
2021-10-03,16.68325
2021-10-04,16.645144
2021-10-05,16.662437
2021-10-06,16.761843
2021-10-07,16.73743
2021-10-08,16.724142
2021-10-09,16.726537
2021-10-10,16.722494
2021-10-11,16.722205
2021-10-12,16.770164
2021-10-13,16.725149
2021-10-14,16.694464
2021-10-15,16.691387
2021-10-16,16.683384
2021-10-17,16.684444
2021-10-18,16.670744
2021-10-19,16.636532
2021-10-20,16.619791
2021-10-21,16.621975
2021-10-22,16.631767
2021-10-23,16.614154
2021-10-24,16.616393
2021-10-25,16.660879
2021-10-26,16.693818
2021-10-27,16.679991
2021-10-28,16.555467
2021-10-29,16.749198
2021-10-30,16.735313
2021-10-31,16.73532
2021-11-01,16.743222
