date,rate
2021-10-01,2.242699
2021-10-02,2.242729
2021-10-03,2.243621
2021-10-04,2.237933
2021-10-05,2.240211
2021-10-06,2.252967
2021-10-07,2.249437
2021-10-08,2.247488
2021-10-09,2.247039
2021-10-10,2.248012
2021-10-11,2.247413
2021-10-12,2.253739
2021-10-13,2.247765
2021-10-14,2.243638
2021-10-15,2.243202
2021-10-16,2.242159
2021-10-17,2.241786
2021-10-18,2.24056
2021-10-19,2.235871
2021-10-20,2.23369
2021-10-21,2.233948
2021-10-22,2.235407
2021-10-23,2.233857
2021-10-24,2.233441
2021-10-25,2.239619
2021-10-26,2.244088
2021-10-27,2.242162
2021-10-28,2.225665
2021-10-29,2.251322
2021-10-30,2.249479
2021-10-31,2.248992
2021-11-01,2.250642
