date,rate
2021-10-01,20.247215
2021-10-02,20.247177
2021-10-03,20.247119
2021-10-04,20.252487
2021-10-05,20.246391
2021-10-06,20.249665
2021-10-07,20.245083
2021-10-08,20.243925
2021-10-09,20.24629
2021-10-10,20.245658
2021-10-11,20.229044
2021-10-12,20.2377
2021-10-13,20.23296
2021-10-14,20.228786
2021-10-15,20.229832
2021-10-16,20.228677
2021-10-17,20.226814
2021-10-18,20.232335
2021-10-19,20.223438
2021-10-20,20.219801
2021-10-21,20.219942
2021-10-22,20.215185
2021-10-23,20.21867
2021-10-24,20.220824
2021-10-25,20.218335
2021-10-26,20.222797
2021-10-27,20.226801
2021-10-28,20.227908
2021-10-29,20.231453
2021-10-30,20.23196
2021-10-31,20.23195
2021-11-01,20.236574
