date,rate
2021-10-01,8.369747
2021-10-02,8.370949
2021-10-03,8.374488
2021-10-04,8.388979
2021-10-05,8.408703
2021-10-06,8.426032
2021-10-07,8.389979
2021-10-08,8.407843
2021-10-09,8.415552
2021-10-10,8.414976
2021-10-11,8.394935
2021-10-12,8.404883
2021-10-13,8.406341
2021-10-14,8.385662
2021-10-15,8.377136
2021-10-16,8.378436
2021-10-17,8.387888
2021-10-18,8.371381
2021-10-19,8.356718
2021-10-20,8.357851
2021-10-21,8.345472
2021-10-22,8.345711
2021-10-23,8.340617
2021-10-24,8.340596
2021-10-25,8.328036
2021-10-26,8.323509
2021-10-27,8.297964
2021-10-28,8.232371
2021-10-29,8.225569
2021-10-30,8.224441
2021-10-31,8.214921
2021-11-01,8.186804
