date,rate
2021-10-01,310.131798
2021-10-02,310.00315
2021-10-03,310.027605
2021-10-04,311.448786
2021-10-05,311.597032
2021-10-06,312.92935
2021-10-07,312.915599
2021-10-08,313.962836
2021-10-09,314.401153
2021-10-10,314.240708
2021-10-11,315.397564
2021-10-12,315.474588
2021-10-13,314.901363
2021-10-14,313.844177
2021-10-15,313.441369
2021-10-16,313.835413
2021-10-17,313.716497
2021-10-18,314.8706
2021-10-19,313.97623
2021-10-20,312.850113
2021-10-21,312.662164
2021-10-22,313.352556
2021-10-23,313.632728
2021-10-24,313.576141
2021-10-25,313.75626
2021-10-26,313.335443
2021-10-27,313.650307
2021-10-28,312.660906
2021-10-29,313.547259
2021-10-30,313.28968
2021-10-31,313.254272
2021-11-01,313.49851
