date,rate
2021-10-01,1096813915353.1923
2021-10-02,1092227831203.7087
2021-10-03,1113903999089.5684
2021-10-04,1087028923585.5972
2021-10-05,1084775992904.2878
2021-10-06,1094155.142946
2021-10-07,1088577.61726
2021-10-08,1086872.755196
2021-10-09,1102837.752328
2021-10-10,1107423.390871
2021-10-11,1080400.651867
2021-10-12,1082371.675015
2021-10-13,1081460.792589
2021-10-14,1086202.705919
2021-10-15,1087979.362304
2021-10-16,1097557.47329
2021-10-17,1107092.585488
2021-10-18,1077947.6987
2021-10-19,1078279.818185
2021-10-20,1084146.976515
2021-10-21,1084289.675035
2021-10-22,1089920.544751
2021-10-23,1112494.186268
2021-10-24,1117324.719818
2021-10-25,1100449.243989
2021-10-26,1114752.769538
2021-10-27,1118524.810381
2021-10-28,1128507.122213
2021-10-29,1139248.216692
2021-10-30,1163593.554382
2021-10-31,1166755.389727
2021-11-01,1130236.180101
