date,rate
2021-10-01,0.223061
2021-10-02,0.222862
2021-10-03,0.222783
2021-10-04,0.221447
2021-10-05,0.223128
2021-10-06,0.222832
2021-10-07,0.223573
2021-10-08,0.22313
2021-10-09,0.222721
2021-10-10,0.222809
2021-10-11,0.222099
2021-10-12,0.222085
2021-10-13,0.22284
2021-10-14,0.221717
2021-10-15,0.221825
2021-10-16,0.222162
2021-10-17,0.22186
2021-10-18,0.220975
2021-10-19,0.220726
2021-10-20,0.220411
2021-10-21,0.219569
2021-10-22,0.219562
2021-10-23,0.219772
2021-10-24,0.219788
2021-10-25,0.220423
2021-10-26,0.220841
2021-10-27,0.221238
2021-10-28,0.223936
2021-10-29,0.223205
2021-10-30,0.223052
2021-10-31,0.223052
2021-11-01,0.223144
