date,rate
2021-10-01,74.597426
2021-10-02,74.692021
2021-10-03,74.66723
2021-10-04,74.322354
2021-10-05,75.073288
2021-10-06,74.375078
2021-10-07,74.622673
2021-10-08,74.428877
2021-10-09,74.460467
2021-10-10,74.48078
2021-10-11,73.886962
2021-10-12,73.584565
2021-10-13,73.504963
2021-10-14,73.988542
2021-10-15,74.238014
2021-10-16,74.271619
2021-10-17,74.186346
2021-10-18,74.068455
2021-10-19,74.137567
2021-10-20,74.263248
2021-10-21,74.521385
2021-10-22,74.47515
2021-10-23,74.284965
2021-10-24,74.267713
2021-10-25,74.368068
2021-10-26,74.342484
2021-10-27,74.099483
2021-10-28,74.453552
2021-10-29,74.877878
2021-10-30,74.360496
2021-10-31,74.352837
2021-11-01,74.513141
