date,rate
2021-10-01,6.071348
2021-10-02,6.08005
2021-10-03,6.075669
2021-10-04,6.031359
2021-10-05,6.086143
2021-10-06,6.120545
2021-10-07,6.13865
2021-10-08,6.164745
2021-10-09,6.152207
2021-10-10,6.152134
2021-10-11,6.107758
2021-10-12,6.139904
2021-10-13,6.150887
2021-10-14,6.104953
2021-10-15,6.109344
2021-10-16,6.12756
2021-10-17,6.11672
2021-10-18,6.132217
2021-10-19,6.134117
2021-10-20,6.12643
2021-10-21,6.149492
2021-10-22,6.168695
2021-10-23,6.169869
2021-10-24,6.171018
2021-10-25,6.216217
2021-10-26,6.200391
2021-10-27,6.171051
2021-10-28,6.119888
2021-10-29,6.173704
2021-10-30,6.158759
2021-10-31,6.159548
2021-11-01,6.168993
