date,rate
2021-10-01,0.028426
2021-10-02,0.028387
2021-10-03,0.028376
2021-10-04,0.028209
2021-10-05,0.028356
2021-10-06,0.028479
2021-10-07,0.028545
2021-10-08,0.028519
2021-10-09,0.028525
2021-10-10,0.028538
2021-10-11,0.028274
2021-10-12,0.02832
2021-10-13,0.028407
2021-10-14,0.028049
2021-10-15,0.027879
2021-10-16,0.02792
2021-10-17,0.027895
2021-10-18,0.027783
2021-10-19,0.027481
2021-10-20,0.027344
2021-10-21,0.027458
2021-10-22,0.027558
2021-10-23,0.027551
2021-10-24,0.027557
2021-10-25,0.027521
2021-10-26,0.02753
2021-10-27,0.027461
2021-10-28,0.027434
2021-10-29,0.027643
2021-10-30,0.027596
2021-10-31,0.027581
2021-11-01,0.027602
