date,rate
2021-10-01,0.031446
2021-10-02,0.031419
2021-10-03,0.031483
2021-10-04,0.03178
2021-10-05,0.032014
2021-10-06,0.032304
2021-10-07,0.032228
2021-10-08,0.032325
2021-10-09,0.032243
2021-10-10,0.032314
2021-10-11,0.03224
2021-10-12,0.032449
2021-10-13,0.032448
2021-10-14,0.032148
2021-10-15,0.031822
2021-10-16,0.031918
2021-10-17,0.031922
2021-10-18,0.032024
2021-10-19,0.03217
2021-10-20,0.032004
2021-10-21,0.032523
2021-10-22,0.032806
2021-10-23,0.032401
2021-10-24,0.032393
2021-10-25,0.032073
2021-10-26,0.031916
2021-10-27,0.032209
2021-10-28,0.032613
2021-10-29,0.032867
2021-10-30,0.032839
2021-10-31,0.032836
2021-11-01,0.032906
