date,rate
2021-10-01,1.802902
2021-10-02,1.806324
2021-10-03,1.809912
2021-10-04,1.795875
2021-10-05,1.804385
2021-10-06,1.82118
2021-10-07,1.814014
2021-10-08,1.827654
2021-10-09,1.820916
2021-10-10,1.824464
2021-10-11,1.814814
2021-10-12,1.83114
2021-10-13,1.819301
2021-10-14,1.80842
2021-10-15,1.810623
2021-10-16,1.814073
2021-10-17,1.813478
2021-10-18,1.807642
2021-10-19,1.805243
2021-10-20,1.793947
2021-10-21,1.79945
2021-10-22,1.796448
2021-10-23,1.794793
2021-10-24,1.794739
2021-10-25,1.805271
2021-10-26,1.799333
2021-10-27,1.806281
2021-10-28,1.798205
2021-10-29,1.821506
2021-10-30,1.813441
2021-10-31,1.81374
2021-11-01,1.818953
