date,rate
2021-10-01,0.018851
2021-10-02,0.018845
2021-10-03,0.018898
2021-10-04,0.018864
2021-10-05,0.018942
2021-10-06,0.01897
2021-10-07,0.018883
2021-10-08,0.018945
2021-10-09,0.018933
2021-10-10,0.018977
2021-10-11,0.018869
2021-10-12,0.01895
2021-10-13,0.018888
2021-10-14,0.018829
2021-10-15,0.018816
2021-10-16,0.018827
2021-10-17,0.01885
2021-10-18,0.01866
2021-10-19,0.018614
2021-10-20,0.018529
2021-10-21,0.018485
2021-10-22,0.018394
2021-10-23,0.018386
2021-10-24,0.018383
2021-10-25,0.018343
2021-10-26,0.018291
2021-10-27,0.018401
2021-10-28,0.018391
2021-10-29,0.018474
2021-10-30,0.01842
2021-10-31,0.018399
2021-11-01,0.018371
