date,rate
2021-10-01,0.120047
2021-10-02,0.119742
2021-10-03,0.119991
2021-10-04,0.120162
2021-10-05,0.1205
2021-10-06,0.120948
2021-10-07,0.120521
2021-10-08,0.121566
2021-10-09,0.121187
2021-10-10,0.121442
2021-10-11,0.121486
2021-10-12,0.121829
2021-10-13,0.120677
2021-10-14,0.120274
2021-10-15,0.119497
2021-10-16,0.118865
2021-10-17,0.118908
2021-10-18,0.11787
2021-10-19,0.117421
2021-10-20,0.116298
2021-10-21,0.116783
2021-10-22,0.115839
2021-10-23,0.115706
2021-10-24,0.115698
2021-10-25,0.115774
2021-10-26,0.115519
2021-10-27,0.116608
2021-10-28,0.118145
2021-10-29,0.120012
2021-10-30,0.119738
2021-10-31,0.119735
2021-11-01,0.120551
