date,rate
2021-10-01,0.162924
2021-10-02,0.162599
2021-10-03,0.163176
2021-10-04,0.163563
2021-10-05,0.163648
2021-10-06,0.164119
2021-10-07,0.163884
2021-10-08,0.164607
2021-10-09,0.164515
2021-10-10,0.164861
2021-10-11,0.163883
2021-10-12,0.165068
2021-10-13,0.164147
2021-10-14,0.163849
2021-10-15,0.163512
2021-10-16,0.163641
2021-10-17,0.163688
2021-10-18,0.16233
2021-10-19,0.161294
2021-10-20,0.160789
2021-10-21,0.160521
2021-10-22,0.159932
2021-10-23,0.159701
2021-10-24,0.159689
2021-10-25,0.15968
2021-10-26,0.158934
2021-10-27,0.160499
2021-10-28,0.161468
2021-10-29,0.162663
2021-10-30,0.162336
2021-10-31,0.162279
2021-11-01,0.162559
