date,rate
2021-10-01,0.930498
2021-10-02,0.929683
2021-10-03,0.930485
2021-10-04,0.928499
2021-10-05,0.923524
2021-10-06,0.931368
2021-10-07,0.92733
2021-10-08,0.921603
2021-10-09,0.923574
2021-10-10,0.923838
2021-10-11,0.927101
2021-10-12,0.925644
2021-10-13,0.927931
2021-10-14,0.931986
2021-10-15,0.932909
2021-10-16,0.932284
2021-10-17,0.932545
2021-10-18,0.928859
2021-10-19,0.931424
2021-10-20,0.932381
2021-10-21,0.928773
2021-10-22,0.927598
2021-10-23,0.929149
2021-10-24,0.929065
2021-10-25,0.923923
2021-10-26,0.924422
2021-10-27,0.922014
2021-10-28,0.928044
2021-10-29,0.919649
2021-10-30,0.921171
2021-10-31,0.921079
2021-11-01,0.919501
