date,rate
2021-10-01,299.231235
2021-10-02,299.371444
2021-10-03,299.167357
2021-10-04,299.52539
2021-10-05,298.207806
2021-10-06,303.010745
2021-10-07,300.409105
2021-10-08,300.189473
2021-10-09,300.778661
2021-10-10,301.08316
2021-10-11,301.792019
2021-10-12,301.765928
2021-10-13,300.040978
2021-10-14,300.561814
2021-10-15,300.388845
2021-10-16,300.792729
2021-10-17,300.236729
2021-10-18,299.683874
2021-10-19,298.147266
2021-10-20,298.396998
2021-10-21,297.71358
2021-10-22,297.452512
2021-10-23,298.03511
2021-10-24,297.987137
2021-10-25,293.793886
2021-10-26,293.97366
2021-10-27,294.110857
2021-10-28,294.954865
2021-10-29,294.281471
2021-10-30,294.731657
2021-10-31,294.667521
2021-11-01,294.866666
