date,rate
2021-10-01,2.217759
2021-10-02,2.217505
2021-10-03,2.219824
2021-10-04,2.205743
2021-10-05,2.195319
2021-10-06,2.234817
2021-10-07,2.216703
2021-10-08,2.193459
2021-10-09,2.200635
2021-10-10,2.202306
2021-10-11,2.207937
2021-10-12,2.210973
2021-10-13,2.20072
2021-10-14,2.190569
2021-10-15,2.188701
2021-10-16,2.188361
2021-10-17,2.189459
2021-10-18,2.190768
2021-10-19,2.187185
2021-10-20,2.181235
2021-10-21,2.173352
2021-10-22,2.167503
2021-10-23,2.169681
2021-10-24,2.16966
2021-10-25,2.162552
2021-10-26,2.170841
2021-10-27,2.154844
2021-10-28,2.155778
2021-10-29,2.151977
2021-10-30,2.156378
2021-10-31,2.15493
2021-11-01,2.155809
