date,rate
2021-10-01,2.245831
2021-10-02,2.242381
2021-10-03,2.244167
2021-10-04,2.243193
2021-10-05,2.233509
2021-10-06,2.254337
2021-10-07,2.243031
2021-10-08,2.248321
2021-10-09,2.256027
2021-10-10,2.255579
2021-10-11,2.266132
2021-10-12,2.278425
2021-10-13,2.292903
2021-10-14,2.333311
2021-10-15,2.344153
2021-10-16,2.353642
2021-10-17,2.3497
2021-10-18,2.356356
2021-10-19,2.363511
2021-10-20,2.342428
2021-10-21,2.39081
2021-10-22,2.42711
2021-10-23,2.431208
2021-10-24,2.430895
2021-10-25,2.403791
2021-10-26,2.399958
2021-10-27,2.389809
2021-10-28,2.406984
2021-10-29,2.409349
2021-10-30,2.409178
2021-10-31,2.409291
2021-11-01,2.390327
