date,rate
2021-10-01,3.768487
2021-10-02,3.766314
2021-10-03,3.769369
2021-10-04,3.796755
2021-10-05,3.766676
2021-10-06,3.823328
2021-10-07,3.753777
2021-10-08,3.750068
2021-10-09,3.758864
2021-10-10,3.756149
2021-10-11,3.776333
2021-10-12,3.770584
2021-10-13,3.743092
2021-10-14,3.753132
2021-10-15,3.720761
2021-10-16,3.706237
2021-10-17,3.707102
2021-10-18,3.710645
2021-10-19,3.682711
2021-10-20,3.665647
2021-10-21,3.68856
2021-10-22,3.740035
2021-10-23,3.750736
2021-10-24,3.749709
2021-10-25,3.700469
2021-10-26,3.740975
2021-10-27,3.775698
2021-10-28,3.819305
2021-10-29,3.818864
2021-10-30,3.821179
2021-10-31,3.820844
2021-11-01,3.827756
