date,rate
2021-10-01,3927.116669
2021-10-02,3919.504516
2021-10-03,3920.25641
2021-10-04,3920.652292
2021-10-05,3909.231539
2021-10-06,3916.819738
2021-10-07,3904.934317
2021-10-08,3907.097753
2021-10-09,3907.678721
2021-10-10,3908.328093
2021-10-11,3903.250178
2021-10-12,3905.008485
2021-10-13,3904.744625
2021-10-14,3874.515877
2021-10-15,3865.659369
2021-10-16,3874.171177
2021-10-17,3869.616971
2021-10-18,3881.667889
2021-10-19,3874.946111
2021-10-20,3874.768578
2021-10-21,3882.469365
2021-10-22,3888.843755
2021-10-23,3895.212688
2021-10-24,3892.912419
2021-10-25,3889.443141
2021-10-26,3889.601134
2021-10-27,3897.344089
2021-10-28,3896.462293
2021-10-29,3895.962851
2021-10-30,3894.742965
2021-10-31,3899.181772
2021-11-01,3915.633635
