date,rate
2021-10-01,0.884112
2021-10-02,0.884239
2021-10-03,0.884613
2021-10-04,0.886144
2021-10-05,0.888227
2021-10-06,0.890058
2021-10-07,0.886249
2021-10-08,0.888136
2021-10-09,0.888951
2021-10-10,0.88889
2021-10-11,0.886773
2021-10-12,0.887823
2021-10-13,0.887977
2021-10-14,0.885793
2021-10-15,0.884893
2021-10-16,0.88503
2021-10-17,0.886028
2021-10-18,0.884285
2021-10-19,0.882736
2021-10-20,0.882855
2021-10-21,0.881548
2021-10-22,0.881573
2021-10-23,0.881035
2021-10-24,0.881033
2021-10-25,0.879706
2021-10-26,0.879228
2021-10-27,0.876529
2021-10-28,0.869601
2021-10-29,0.868882
2021-10-30,0.868763
2021-10-31,0.867757
2021-11-01,0.864787
