date,rate
2021-10-01,0.395895
2021-10-02,0.395708
2021-10-03,0.395688
2021-10-04,0.394569
2021-10-05,0.39421
2021-10-06,0.397595
2021-10-07,0.395883
2021-10-08,0.396363
2021-10-09,0.396411
2021-10-10,0.396427
2021-10-11,0.394834
2021-10-12,0.395701
2021-10-13,0.395
2021-10-14,0.390888
2021-10-15,0.388582
2021-10-16,0.388559
2021-10-17,0.388731
2021-10-18,0.388121
2021-10-19,0.383539
2021-10-20,0.381508
2021-10-21,0.383172
2021-10-22,0.38464
2021-10-23,0.384039
2021-10-24,0.384096
2021-10-25,0.383311
2021-10-26,0.384036
2021-10-27,0.38288
2021-10-28,0.381143
2021-10-29,0.383594
2021-10-30,0.383235
2021-10-31,0.38303
2021-11-01,0.38312
