date,rate
2021-10-01,0.322554
2021-10-02,0.322944
2021-10-03,0.323269
2021-10-04,0.322427
2021-10-05,0.32184
2021-10-06,0.321636
2021-10-07,0.319162
2021-10-08,0.320039
2021-10-09,0.319839
2021-10-10,0.320149
2021-10-11,0.317348
2021-10-12,0.316582
2021-10-13,0.317182
2021-10-14,0.315616
2021-10-15,0.315975
2021-10-16,0.316029
2021-10-17,0.316039
2021-10-18,0.316338
2021-10-19,0.314178
2021-10-20,0.313364
2021-10-21,0.314154
2021-10-22,0.31507
2021-10-23,0.315209
2021-10-24,0.31541
2021-10-25,0.31312
2021-10-26,0.312489
2021-10-27,0.311926
2021-10-28,0.312872
2021-10-29,0.310608
2021-10-30,0.310681
2021-10-31,0.310463
2021-11-01,0.311467
