date,rate
2021-10-01,0.317765
2021-10-02,0.318338
2021-10-03,0.318505
2021-10-04,0.318686
2021-10-05,0.318473
2021-10-06,0.317441
2021-10-07,0.317288
2021-10-08,0.316819
2021-10-09,0.31682
2021-10-10,0.316858
2021-10-11,0.316494
2021-10-12,0.316157
2021-10-13,0.316184
2021-10-14,0.315817
2021-10-15,0.31597
2021-10-16,0.316022
2021-10-17,0.316031
2021-10-18,0.316479
2021-10-19,0.316115
2021-10-20,0.316272
2021-10-21,0.316807
2021-10-22,0.317314
2021-10-23,0.317228
2021-10-24,0.317406
2021-10-25,0.316092
2021-10-26,0.315778
2021-10-27,0.316031
2021-10-28,0.317292
2021-10-29,0.314827
2021-10-30,0.315101
2021-10-31,0.315111
2021-11-01,0.315221
