date,rate
2021-10-01,188.315392
2021-10-02,188.255567
2021-10-03,188.390374
2021-10-04,189.394815
2021-10-05,190.914137
2021-10-06,190.370783
2021-10-07,189.927175
2021-10-08,192.618971
2021-10-09,192.739481
2021-10-10,192.720672
2021-10-11,192.780595
2021-10-12,192.312141
2021-10-13,190.898124
2021-10-14,191.319808
2021-10-15,192.861708
2021-10-16,193.063428
2021-10-17,193.067414
2021-10-18,192.145928
2021-10-19,190.896201
2021-10-20,190.87296
2021-10-21,192.257605
2021-10-22,191.471816
2021-10-23,191.960996
2021-10-24,192.031041
2021-10-25,189.599761
2021-10-26,188.900525
2021-10-27,188.880225
2021-10-28,189.969679
2021-10-29,189.351028
2021-10-30,190.063943
2021-10-31,190.069086
2021-11-01,189.912296
