date,rate
2021-10-01,0.070651
2021-10-02,0.070652
2021-10-03,0.070677
2021-10-04,0.070774
2021-10-05,0.070807
2021-10-06,0.070354
2021-10-07,0.070468
2021-10-08,0.070541
2021-10-09,0.07061
2021-10-10,0.070619
2021-10-11,0.070527
2021-10-12,0.07036
2021-10-13,0.070543
2021-10-14,0.07066
2021-10-15,0.070701
2021-10-16,0.070854
2021-10-17,0.070875
2021-10-18,0.070788
2021-10-19,0.07089
2021-10-20,0.070981
2021-10-21,0.070927
2021-10-22,0.070894
2021-10-23,0.070919
2021-10-24,0.070958
2021-10-25,0.070776
2021-10-26,0.070692
2021-10-27,0.070725
2021-10-28,0.071195
2021-10-29,0.070456
2021-10-30,0.070618
2021-10-31,0.070622
2021-11-01,0.070461
