date,rate
2021-10-01,98886401693.69238
2021-10-02,98460608473.26259
2021-10-03,100451180167.8626
2021-10-04,98142344314.62112
2021-10-05,97923270294.59459
2021-10-06,98177.934901
2021-10-07,97813.099998
2021-10-08,97733.529925
2021-10-09,99117.972402
2021-10-10,99536.859299
2021-10-11,97128.367868
2021-10-12,97005.833547
2021-10-13,97208.388081
2021-10-14,97805.459291
2021-10-15,98014.921945
2021-10-16,98909.709461
2021-10-17,99769.88779
2021-10-18,97225.596024
2021-10-19,97449.784937
2021-10-20,98135.077287
2021-10-21,98108.604178
2021-10-22,98560.366099
2021-10-23,100637.658826
2021-10-24,101128.899901
2021-10-25,99302.329182
2021-10-26,100404.838984
2021-10-27,100808.397135
2021-10-28,102454.822737
2021-10-29,102238.650702
2021-10-30,104518.987783
2021-10-31,104805.719489
2021-11-01,101451.998407
