date,rate
2021-10-01,3.487553
2021-10-02,3.488158
2021-10-03,3.489249
2021-10-04,3.526242
2021-10-05,3.516589
2021-10-06,3.518199
2021-10-07,3.474059
2021-10-08,3.494825
2021-10-09,3.493747
2021-10-10,3.490459
2021-10-11,3.497597
2021-10-12,3.486998
2021-10-13,3.463164
2021-10-14,3.463395
2021-10-15,3.431859
2021-10-16,3.421858
2021-10-17,3.421729
2021-10-18,3.441503
2021-10-19,3.41299
2021-10-20,3.399059
2021-10-21,3.432215
2021-10-22,3.482482
2021-10-23,3.487864
2021-10-24,3.489093
2021-10-25,3.45204
2021-10-26,3.481417
2021-10-27,3.525138
2021-10-28,3.568693
2021-10-29,3.559379
2021-10-30,3.558905
2021-10-31,3.559042
2021-11-01,3.569019
