date,rate
2021-10-01,0.050515
2021-10-02,0.050538
2021-10-03,0.050582
2021-10-04,0.050699
2021-10-05,0.050792
2021-10-06,0.050717
2021-10-07,0.051186
2021-10-08,0.051187
2021-10-09,0.051132
2021-10-10,0.05114
2021-10-11,0.051267
2021-10-12,0.051152
2021-10-13,0.050943
2021-10-14,0.051389
2021-10-15,0.051753
2021-10-16,0.051818
2021-10-17,0.051834
2021-10-18,0.051508
2021-10-19,0.051798
2021-10-20,0.05179
2021-10-21,0.05164
2021-10-22,0.05218
2021-10-23,0.052144
2021-10-24,0.052139
2021-10-25,0.052642
2021-10-26,0.052728
2021-10-27,0.052129
2021-10-28,0.052276
2021-10-29,0.051774
2021-10-30,0.051816
2021-10-31,0.051816
2021-11-01,0.051698
