date,rate
2021-10-01,4.233676
2021-10-02,4.245361
2021-10-03,4.247467
2021-10-04,4.239224
2021-10-05,4.259534
2021-10-06,4.295425
2021-10-07,4.319222
2021-10-08,4.346791
2021-10-09,4.332852
2021-10-10,4.331751
2021-10-11,4.333916
2021-10-12,4.349388
2021-10-13,4.318574
2021-10-14,4.333307
2021-10-15,4.367854
2021-10-16,4.379755
2021-10-17,4.379253
2021-10-18,4.373387
2021-10-19,4.395317
2021-10-20,4.387737
2021-10-21,4.392281
2021-10-22,4.452845
2021-10-23,4.444885
2021-10-24,4.445035
2021-10-25,4.517484
2021-10-26,4.520261
2021-10-27,4.445627
2021-10-28,4.40542
2021-10-29,4.396244
2021-10-30,4.392597
2021-10-31,4.393171
2021-11-01,4.387567
