date,rate
2021-10-01,0.462868
2021-10-02,0.462557
2021-10-03,0.462969
2021-10-04,0.466073
2021-10-05,0.46773
2021-10-06,0.46722
2021-10-07,0.470489
2021-10-08,0.472042
2021-10-09,0.471566
2021-10-10,0.471565
2021-10-11,0.469127
2021-10-12,0.463929
2021-10-13,0.460621
2021-10-14,0.463981
2021-10-15,0.4706
2021-10-16,0.47161
2021-10-17,0.472563
2021-10-18,0.46912
2021-10-19,0.47038
2021-10-20,0.471038
2021-10-21,0.46935
2021-10-22,0.474096
2021-10-23,0.473778
2021-10-24,0.473703
2021-10-25,0.473795
2021-10-26,0.477092
2021-10-27,0.472367
2021-10-28,0.472475
2021-10-29,0.470208
2021-10-30,0.469534
2021-10-31,0.469525
2021-11-01,0.47087
