date,rate
2021-10-01,0.366829
2021-10-02,0.367319
2021-10-03,0.367554
2021-10-04,0.366169
2021-10-05,0.365561
2021-10-06,0.367531
2021-10-07,0.364199
2021-10-08,0.364925
2021-10-09,0.364885
2021-10-10,0.365214
2021-10-11,0.361943
2021-10-12,0.362185
2021-10-13,0.36181
2021-10-14,0.359395
2021-10-15,0.359622
2021-10-16,0.359567
2021-10-17,0.359576
2021-10-18,0.359612
2021-10-19,0.356445
2021-10-20,0.354959
2021-10-21,0.355997
2021-10-22,0.357244
2021-10-23,0.357273
2021-10-24,0.35731
2021-10-25,0.355784
2021-10-26,0.355733
2021-10-27,0.354867
2021-10-28,0.353348
2021-10-29,0.354879
2021-10-30,0.354638
2021-10-31,0.354381
2021-11-01,0.355783
