date,rate
2021-10-01,0.247976
2021-10-02,0.248148
2021-10-03,0.248199
2021-10-04,0.246666
2021-10-05,0.247243
2021-10-06,0.24751
2021-10-07,0.247432
2021-10-08,0.247275
2021-10-09,0.247346
2021-10-10,0.247471
2021-10-11,0.247167
2021-10-12,0.248102
2021-10-13,0.246904
2021-10-14,0.246181
2021-10-15,0.246442
2021-10-16,0.246189
2021-10-17,0.246117
2021-10-18,0.246208
2021-10-19,0.246099
2021-10-20,0.245271
2021-10-21,0.244653
2021-10-22,0.244378
2021-10-23,0.244288
2021-10-24,0.244287
2021-10-25,0.245103
2021-10-26,0.245439
2021-10-27,0.244843
2021-10-28,0.243279
2021-10-29,0.244384
2021-10-30,0.244156
2021-10-31,0.244074
2021-11-01,0.244359
