date,rate
2021-10-01,1.710124
2021-10-02,1.710593
2021-10-03,1.710589
2021-10-04,1.706682
2021-10-05,1.708455
2021-10-06,1.718648
2021-10-07,1.716144
2021-10-08,1.714782
2021-10-09,1.715028
2021-10-10,1.714613
2021-10-11,1.714583
2021-10-12,1.719501
2021-10-13,1.714885
2021-10-14,1.711739
2021-10-15,1.711424
2021-10-16,1.710603
2021-10-17,1.710712
2021-10-18,1.709307
2021-10-19,1.705799
2021-10-20,1.704083
2021-10-21,1.704307
2021-10-22,1.705311
2021-10-23,1.703505
2021-10-24,1.703734
2021-10-25,1.708295
2021-10-26,1.711673
2021-10-27,1.710255
2021-10-28,1.697487
2021-10-29,1.717351
2021-10-30,1.715927
2021-10-31,1.715928
2021-11-01,1.716738
