date,rate
2021-10-01,1.724136
2021-10-02,1.724653
2021-10-03,1.724653
2021-10-04,1.719561
2021-10-05,1.724784
2021-10-06,1.734527
2021-10-07,1.733326
2021-10-08,1.73216
2021-10-09,1.730657
2021-10-10,1.730657
2021-10-11,1.731391
2021-10-12,1.737226
2021-10-13,1.732796
2021-10-14,1.727427
2021-10-15,1.726731
2021-10-16,1.725064
2021-10-17,1.725064
2021-10-18,1.724516
2021-10-19,1.720698
2021-10-20,1.718833
2021-10-21,1.723332
2021-10-22,1.724902
2021-10-23,1.722598
2021-10-24,1.722598
2021-10-25,1.728218
2021-10-26,1.730073
2021-10-27,1.727891
2021-10-28,1.714841
2021-10-29,1.730677
2021-10-30,1.729356
2021-10-31,1.729356
2021-11-01,1.730659
