date,rate
2021-10-01,19.781553
2021-10-02,19.773348
2021-10-03,19.774907
2021-10-04,19.865557
2021-10-05,19.875012
2021-10-06,19.959993
2021-10-07,19.959116
2021-10-08,20.025914
2021-10-09,20.053871
2021-10-10,20.043637
2021-10-11,20.117427
2021-10-12,20.12234
2021-10-13,20.085777
2021-10-14,20.018345
2021-10-15,19.992652
2021-10-16,20.017786
2021-10-17,20.010201
2021-10-18,20.083815
2021-10-19,20.026768
2021-10-20,19.954939
2021-10-21,19.942951
2021-10-22,19.986987
2021-10-23,20.004858
2021-10-24,20.001249
2021-10-25,20.012737
2021-10-26,19.985896
2021-10-27,20.005979
2021-10-28,19.942871
2021-10-29,19.999406
2021-10-30,19.982977
2021-10-31,19.980718
2021-11-01,19.996297
