date,rate
2021-10-01,1.052483
2021-10-02,1.053405
2021-10-03,1.052498
2021-10-04,1.054749
2021-10-05,1.060431
2021-10-06,1.051499
2021-10-07,1.056079
2021-10-08,1.062641
2021-10-09,1.060374
2021-10-10,1.06007
2021-10-11,1.056339
2021-10-12,1.058003
2021-10-13,1.055394
2021-10-14,1.050803
2021-10-15,1.049763
2021-10-16,1.050467
2021-10-17,1.050173
2021-10-18,1.054341
2021-10-19,1.051436
2021-10-20,1.050357
2021-10-21,1.054438
2021-10-22,1.055774
2021-10-23,1.054011
2021-10-24,1.054106
2021-10-25,1.059973
2021-10-26,1.0594
2021-10-27,1.062167
2021-10-28,1.055266
2021-10-29,1.064899
2021-10-30,1.063139
2021-10-31,1.063246
2021-11-01,1.06507
