date,rate
2021-10-01,112459986787.54732
2021-10-02,111989760292.75365
2021-10-03,114212290039.98373
2021-10-04,111456698964.97656
2021-10-05,111225698472.45296
2021-10-06,112187.37399
2021-10-07,111615.49169
2021-10-08,111440.686499
2021-10-09,113077.630872
2021-10-10,113547.811677
2021-10-11,110777.080171
2021-10-12,110979.175745
2021-10-13,110885.779933
2021-10-14,111371.984114
2021-10-15,111554.150615
2021-10-16,112536.226261
2021-10-17,113513.893099
2021-10-18,110525.570707
2021-10-19,110559.624025
2021-10-20,111161.203325
2021-10-21,111175.83468
2021-10-22,111753.186522
2021-10-23,114067.737232
2021-10-24,114563.027939
2021-10-25,112832.72915
2021-10-26,114299.317303
2021-10-27,114686.077224
2021-10-28,115709.596931
2021-10-29,116810.917151
2021-10-30,119307.125776
2021-10-31,119631.319293
2021-11-01,115886.883
