date,rate
2021-10-01,11.284643
2021-10-02,11.268151
2021-10-03,11.254484
2021-10-04,11.335999
2021-10-05,11.328382
2021-10-06,11.224552
2021-10-07,11.27005
2021-10-08,11.309147
2021-10-09,11.30679
2021-10-10,11.289584
2021-10-11,11.302859
2021-10-12,11.297479
2021-10-13,11.380231
2021-10-14,11.485837
2021-10-15,11.511168
2021-10-16,11.49656
2021-10-17,11.493217
2021-10-18,11.461438
2021-10-19,11.514718
2021-10-20,11.562569
2021-10-21,11.563012
2021-10-22,11.582463
2021-10-23,11.593128
2021-10-24,11.593132
2021-10-25,11.574403
2021-10-26,11.538064
2021-10-27,11.605834
2021-10-28,11.685819
2021-10-29,11.603922
2021-10-30,11.595815
2021-10-31,11.601872
2021-11-01,11.576185
