date,rate
2021-10-01,1633.105803
2021-10-02,1628.700606
2021-10-03,1628.714473
2021-10-04,1635.777762
2021-10-05,1629.976614
2021-10-06,1617.903653
2021-10-07,1619.124067
2021-10-08,1627.077682
2021-10-09,1625.480881
2021-10-10,1624.983253
2021-10-11,1624.450803
2021-10-12,1620.398744
2021-10-13,1631.861818
2021-10-14,1633.839866
2021-10-15,1633.112337
2021-10-16,1635.866025
2021-10-17,1633.580451
2021-10-18,1631.21506
2021-10-19,1635.56333
2021-10-20,1641.633975
2021-10-21,1644.474696
2021-10-22,1649.529162
2021-10-23,1653.331748
2021-10-24,1652.223774
2021-10-25,1647.010893
2021-10-26,1641.674248
2021-10-27,1652.837438
2021-10-28,1662.549714
2021-10-29,1650.209341
2021-10-30,1649.049953
2021-10-31,1651.873074
2021-11-01,1655.326637
