date,rate
2021-10-01,4801.245821
2021-10-02,4797.552259
2021-10-03,4796.67287
2021-10-04,4816.985341
2021-10-05,4813.927793
2021-10-06,4768.944394
2021-10-07,4786.954838
2021-10-08,4809.903829
2021-10-09,4802.558309
2021-10-10,4800.297616
2021-10-11,4804.947987
2021-10-12,4790.793494
2021-10-13,4824.992263
2021-10-14,4868.55125
2021-10-15,4877.085552
2021-10-16,4875.041778
2021-10-17,4873.964506
2021-10-18,4851.858121
2021-10-19,4873.428462
2021-10-20,4891.454404
2021-10-21,4890.303287
2021-10-22,4897.240927
2021-10-23,4900.474055
2021-10-24,4900.09196
2021-10-25,4888.987736
2021-10-26,4873.0919
2021-10-27,4896.059849
2021-10-28,4925.970266
2021-10-29,4890.358867
2021-10-30,4888.372345
2021-10-31,4891.170303
2021-11-01,4880.7989
