date,rate
2021-10-01,134.92504
2021-10-02,135.003733
2021-10-03,134.770757
2021-10-04,135.793446
2021-10-05,135.838036
2021-10-06,135.586355
2021-10-07,135.520693
2021-10-08,136.856645
2021-10-09,136.678112
2021-10-10,136.71267
2021-10-11,136.685078
2021-10-12,136.485565
2021-10-13,136.337666
2021-10-14,137.207182
2021-10-15,137.245291
2021-10-16,137.451158
2021-10-17,137.128249
2021-10-18,136.793987
2021-10-19,136.315549
2021-10-20,136.801832
2021-10-21,136.983624
2021-10-22,137.232785
2021-10-23,137.363536
2021-10-24,137.342795
2021-10-25,135.855206
2021-10-26,135.419245
2021-10-27,136.48824
2021-10-28,136.820587
2021-10-29,136.749385
2021-10-30,136.679002
2021-10-31,136.741104
2021-11-01,136.777745
