date,rate
2021-10-01,8.305746
2021-10-02,8.295734
2021-10-03,8.287031
2021-10-04,8.302826
2021-10-05,8.282349
2021-10-06,8.217172
2021-10-07,8.172899
2021-10-08,8.208376
2021-10-09,8.207919
2021-10-10,8.202764
2021-10-11,8.190378
2021-10-12,8.184681
2021-10-13,8.276856
2021-10-14,8.279093
2021-10-15,8.236043
2021-10-16,8.221408
2021-10-17,8.217131
2021-10-18,8.231475
2021-10-19,8.221397
2021-10-20,8.253557
2021-10-21,8.275554
2021-10-22,8.201536
2021-10-23,8.212758
2021-10-24,8.212755
2021-10-25,8.115831
2021-10-26,8.07606
2021-10-27,8.208025
2021-10-28,8.235024
2021-10-29,8.254123
2021-10-30,8.244274
2021-10-31,8.248968
2021-11-01,8.250194
