date,rate
2021-10-01,4.732174
2021-10-02,4.724351
2021-10-03,4.723584
2021-10-04,4.715639
2021-10-05,4.722927
2021-10-06,4.737993
2021-10-07,4.739939
2021-10-08,4.746765
2021-10-09,4.744974
2021-10-10,4.743587
2021-10-11,4.749954
2021-10-12,4.75396
2021-10-13,4.754698
2021-10-14,4.75981
2021-10-15,4.759033
2021-10-16,4.757503
2021-10-17,4.757712
2021-10-18,4.751082
2021-10-19,4.756277
2021-10-20,4.756647
2021-10-21,4.747339
2021-10-22,4.739766
2021-10-23,4.737726
2021-10-24,4.738248
2021-10-25,4.756357
2021-10-26,4.761568
2021-10-27,4.756823
2021-10-28,4.737077
2021-10-29,4.774408
2021-10-30,4.770648
2021-10-31,4.770635
2021-11-01,4.767772
