date,rate
2021-10-01,0.159532
2021-10-02,0.159644
2021-10-03,0.159586
2021-10-04,0.160959
2021-10-05,0.161575
2021-10-06,0.163073
2021-10-07,0.163101
2021-10-08,0.162868
2021-10-09,0.162698
2021-10-10,0.162697
2021-10-11,0.164119
2021-10-12,0.166133
2021-10-13,0.167218
2021-10-14,0.166023
2021-10-15,0.163122
2021-10-16,0.163399
2021-10-17,0.163124
2021-10-18,0.165155
2021-10-19,0.166517
2021-10-20,0.166179
2021-10-21,0.169141
2021-10-22,0.17152
2021-10-23,0.169369
2021-10-24,0.169362
2021-10-25,0.169398
2021-10-26,0.168058
2021-10-27,0.167822
2021-10-28,0.169108
2021-10-29,0.168702
2021-10-30,0.169412
2021-10-31,0.169395
2021-11-01,0.168568
