date,rate
2021-10-01,0.037627
2021-10-02,0.037637
2021-10-03,0.037645
2021-10-04,0.037242
2021-10-05,0.037147
2021-10-06,0.037286
2021-10-07,0.037168
2021-10-08,0.036842
2021-10-09,0.036823
2021-10-10,0.036825
2021-10-11,0.037068
2021-10-12,0.037355
2021-10-13,0.037491
2021-10-14,0.037287
2021-10-15,0.037095
2021-10-16,0.037033
2021-10-17,0.036946
2021-10-18,0.036965
2021-10-19,0.037043
2021-10-20,0.036902
2021-10-21,0.036977
2021-10-22,0.037102
2021-10-23,0.037049
2021-10-24,0.037056
2021-10-25,0.037436
2021-10-26,0.037286
2021-10-27,0.03708
2021-10-28,0.03721
2021-10-29,0.037167
2021-10-30,0.037229
2021-10-31,0.037223
2021-11-01,0.037049
