date,rate
2021-10-01,0.025625
2021-10-02,0.025654
2021-10-03,0.025664
2021-10-04,0.025488
2021-10-05,0.02547
2021-10-06,0.025605
2021-10-07,0.025622
2021-10-08,0.025516
2021-10-09,0.025509
2021-10-10,0.025524
2021-10-11,0.025714
2021-10-12,0.026016
2021-10-13,0.026027
2021-10-14,0.026017
2021-10-15,0.025828
2021-10-16,0.025793
2021-10-17,0.025744
2021-10-18,0.025756
2021-10-19,0.025778
2021-10-20,0.025713
2021-10-21,0.025733
2021-10-22,0.025759
2021-10-23,0.02574
2021-10-24,0.025738
2021-10-25,0.026053
2021-10-26,0.025967
2021-10-27,0.025906
2021-10-28,0.025782
2021-10-29,0.025953
2021-10-30,0.02599
2021-10-31,0.025985
2021-11-01,0.025871
