date,rate
2021-10-01,5.073276
2021-10-02,5.081053
2021-10-03,5.068984
2021-10-04,5.064736
2021-10-05,5.047046
2021-10-06,5.048149
2021-10-07,5.060758
2021-10-08,5.038416
2021-10-09,5.045936
2021-10-10,5.034853
2021-10-11,5.090466
2021-10-12,5.119828
2021-10-13,5.153381
2021-10-14,5.164402
2021-10-15,5.126118
2021-10-16,5.11932
2021-10-17,5.110087
2021-10-18,5.157292
2021-10-19,5.176137
2021-10-20,5.192486
2021-10-21,5.2006
2021-10-22,5.22825
2021-10-23,5.227227
2021-10-24,5.22839
2021-10-25,5.28158
2021-10-26,5.265624
2021-10-27,5.210365
2021-10-28,5.185241
2021-10-29,5.13288
2021-10-30,5.158829
2021-10-31,5.158745
2021-11-01,5.122723
