date,rate
2021-10-01,11.143588
2021-10-02,11.143147
2021-10-03,11.132403
2021-10-04,11.146744
2021-10-05,11.134682
2021-10-06,11.127363
2021-10-07,11.137765
2021-10-08,11.033188
2021-10-09,11.029175
2021-10-10,11.022943
2021-10-11,11.012596
2021-10-12,10.963021
2021-10-13,10.922701
2021-10-14,10.783181
2021-10-15,10.747805
2021-10-16,10.68923
2021-10-17,10.709422
2021-10-18,10.65601
2021-10-19,10.655678
2021-10-20,10.7669
2021-10-21,10.511285
2021-10-22,10.343587
2021-10-23,10.346047
2021-10-24,10.347278
2021-10-25,10.41282
2021-10-26,10.436558
2021-10-27,10.464754
2021-10-28,10.466225
2021-10-29,10.364362
2021-10-30,10.379044
2021-10-31,10.377003
2021-11-01,10.440432
