date,rate
2021-10-01,0.10491
2021-10-02,0.105053
2021-10-03,0.105081
2021-10-04,0.104254
2021-10-05,0.104389
2021-10-06,0.104416
2021-10-07,0.104454
2021-10-08,0.103499
2021-10-09,0.103395
2021-10-10,0.103498
2021-10-11,0.103253
2021-10-12,0.102922
2021-10-13,0.10203
2021-10-14,0.100406
2021-10-15,0.100147
2021-10-16,0.099574
2021-10-17,0.09974
2021-10-18,0.099101
2021-10-19,0.099031
2021-10-20,0.099688
2021-10-21,0.097048
2021-10-22,0.095368
2021-10-23,0.095331
2021-10-24,0.095334
2021-10-25,0.096196
2021-10-26,0.096534
2021-10-27,0.096457
2021-10-28,0.095779
2021-10-29,0.09525
2021-10-30,0.095325
2021-10-31,0.095279
2021-11-01,0.095983
