date,rate
2021-10-01,12.519197
2021-10-02,12.538529
2021-10-03,12.542826
2021-10-04,12.501824
2021-10-05,12.542155
2021-10-06,12.526511
2021-10-07,12.551235
2021-10-08,12.518635
2021-10-09,12.512228
2021-10-10,12.526218
2021-10-11,12.62976
2021-10-12,12.578889
2021-10-13,12.505708
2021-10-14,12.353713
2021-10-15,12.385348
2021-10-16,12.332047
2021-10-17,12.350097
2021-10-18,12.262097
2021-10-19,12.262728
2021-10-20,12.380407
2021-10-21,12.03317
2021-10-22,11.81953
2021-10-23,11.810446
2021-10-24,11.810189
2021-10-25,11.899605
2021-10-26,11.979891
2021-10-27,11.947957
2021-10-28,11.899019
2021-10-29,11.853044
2021-10-30,11.865866
2021-10-31,11.866403
2021-11-01,11.97753
