date,rate
2021-10-01,0.410656
2021-10-02,0.410928
2021-10-03,0.410955
2021-10-04,0.410255
2021-10-05,0.409826
2021-10-06,0.409489
2021-10-07,0.409769
2021-10-08,0.40628
2021-10-09,0.405758
2021-10-10,0.405955
2021-10-11,0.405491
2021-10-12,0.402669
2021-10-13,0.401116
2021-10-14,0.395892
2021-10-15,0.394451
2021-10-16,0.392597
2021-10-17,0.393366
2021-10-18,0.390704
2021-10-19,0.390597
2021-10-20,0.394518
2021-10-21,0.385038
2021-10-22,0.3788
2021-10-23,0.378794
2021-10-24,0.378808
2021-10-25,0.380959
2021-10-26,0.381774
2021-10-27,0.382397
2021-10-28,0.382151
2021-10-29,0.378322
2021-10-30,0.378975
2021-10-31,0.37892
2021-11-01,0.381272
