date,rate
2021-10-01,1.677992
2021-10-02,1.679605
2021-10-03,1.679629
2021-10-04,1.692567
2021-10-05,1.686439
2021-10-06,1.695988
2021-10-07,1.673529
2021-10-08,1.667941
2021-10-09,1.666143
2021-10-10,1.66527
2021-10-11,1.666422
2021-10-12,1.654908
2021-10-13,1.632468
2021-10-14,1.6085
2021-10-15,1.587251
2021-10-16,1.574682
2021-10-17,1.577691
2021-10-18,1.574739
2021-10-19,1.558153
2021-10-20,1.564892
2021-10-21,1.542807
2021-10-22,1.540941
2021-10-23,1.542746
2021-10-24,1.542522
2021-10-25,1.539431
2021-10-26,1.558767
2021-10-27,1.579916
2021-10-28,1.58676
2021-10-29,1.585019
2021-10-30,1.586092
2021-10-31,1.585879
2021-11-01,1.601353
