date,rate
2021-10-01,6.288004
2021-10-02,6.281532
2021-10-03,6.367407
2021-10-04,6.278348
2021-10-05,6.301326
2021-10-06,6.286063
2021-10-07,6.334175
2021-10-08,6.290181
2021-10-09,6.342249
2021-10-10,6.328759
2021-10-11,6.289691
2021-10-12,6.265376
2021-10-13,6.311471
2021-10-14,6.313205
2021-10-15,6.350023
2021-10-16,6.35069
2021-10-17,6.38763
2021-10-18,6.310205
2021-10-19,6.311518
2021-10-20,6.28912
2021-10-21,6.273901
2021-10-22,6.294121
2021-10-23,6.346148
2021-10-24,6.354553
2021-10-25,6.323474
2021-10-26,6.334197
2021-10-27,6.446519
2021-10-28,6.367505
2021-10-29,6.382733
2021-10-30,6.435875
2021-10-31,6.437076
2021-11-01,6.356842
